"India/State /UT",Number of teachers by Classes Taught – Government Aided,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),( 6),(7),( 8),(9),(10),(11)
India,808355,4858,1538,146063,35423,169224,51068,251318,16013,132850
Andaman and Nicobar Islands,73,1,0,17,1,9,12,10,2,21
Andhra Pradesh,7526,0,0,2586,36,1937,1331,164,0,1472
Arunachal Pradesh,987,1,7,265,212,155,137,136,50,24
Assam,35371,0,5,59,42,24718,532,7159,47,2809
Bihar,3744,0,2,204,158,1659,251,1131,167,172
Chandigarh,280,3,3,38,21,10,84,17,37,67
Chhattisgarh,2619,5,7,946,117,630,68,257,315,274
"Daman and Diu andDadra and Nagar Haveli",205,3,6,26,2,62,8,52,1,45
Delhi,4833,20,0,967,0,1309,0,1030,0,1507
Goa,8470,63,5,1494,34,1265,1708,2092,0,1809
Gujarat,45489,12,26,1092,45,2180,2,24847,1302,15983
Haryana,410,0,2,117,28,22,88,38,64,51
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,17,0,0,6,0,10,0,1,0,0
Jharkhand,5611,7,12,1732,594,1602,716,658,45,245
Karnataka,45573,7,10,1777,11621,1116,65,24897,128,5952
Kerala,116744,4346,28,34834,216,29986,260,30064,86,16924
Ladakh,77,0,0,62,0,8,1,6,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4790,11,21,1005,142,1355,79,1028,320,829
Maharashtra,293014,68,292,55051,19583,58394,24554,87537,1735,45800
Manipur,2634,2,56,1275,158,480,294,269,10,90
Meghalaya,17798,141,709,5810,18,4946,407,4639,136,992
Mizoram,1816,0,0,0,0,509,0,974,0,333
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,32574,0,0,851,73,3104,2851,20813,0,4882
Puducherry,930,33,6,267,139,62,218,81,35,89
Punjab,5232,8,31,1112,0,775,0,1746,0,1560
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,243,8,2,70,7,56,21,39,9,31
Tamil Nadu,78185,29,0,28223,1403,12611,10668,10702,3528,11021
Telangana,3599,9,62,1351,220,323,679,605,0,350
Tripura,1144,0,0,182,1,111,29,311,50,460
Uttar Pradesh,82225,1,53,4431,520,18590,5343,28429,7130,17728
Uttarakhand,5139,0,2,190,22,1127,514,1423,625,1236
West Bengal,1003,80,191,23,10,103,148,163,191,94
