"India/State /UT",Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,160534,85093,245627,12287,6573,18860,81563,54575,136138
Andaman and Nicobar Islands,4,6,10,2,0,2,5,15,20
Andhra Pradesh,412,494,906,0,0,0,725,611,1336
Arunachal Pradesh,79,27,106,54,7,61,19,4,23
Assam,4661,1984,6645,43,16,59,1671,930,2601
Bihar,844,285,1129,122,53,175,178,44,222
Chandigarh,3,12,15,9,32,41,14,55,69
Chhattisgarh,144,87,231,167,151,318,165,106,271
"Dadra and Nagar Haveli andDaman and Diu",23,29,52,1,0,1,27,25,52
Delhi,289,741,1030,0,0,0,508,928,1436
Goa,446,1406,1852,0,0,0,542,1305,1847
Gujarat,18063,7337,25400,1051,552,1603,10786,6135,16921
Haryana,4,34,38,7,56,63,11,23,34
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,0,0,0,0,0,0,0,0,0
Jharkhand,300,304,604,31,16,47,151,76,227
Karnataka,16712,6765,23477,125,36,161,3762,1786,5548
Kerala,8496,20956,29452,23,29,52,5445,11145,16590
Ladakh,5,1,6,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,527,349,876,237,295,532,429,347,776
Maharashtra,59869,23309,83178,1363,598,1961,30066,15701,45767
Manipur,126,120,246,7,1,8,58,43,101
Meghalaya,2422,2067,4489,75,99,174,397,580,977
Mizoram,677,307,984,0,0,0,184,146,330
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,15454,2897,18351,0,0,0,4941,2342,7283
Puducherry,12,62,74,12,22,34,23,62,85
Punjab,480,913,1393,51,139,190,424,853,1277
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,14,18,32,16,21,37,12,9,21
Tamil Nadu,3913,6934,10847,1503,2041,3544,4379,6608,10987
Telangana,166,424,590,0,0,0,112,167,279
Tripura,216,100,316,29,13,42,284,175,459
Uttar Pradesh,25252,6568,31820,6862,1941,8803,15428,3835,19263
Uttarakhand,831,485,1316,410,336,746,769,472,1241
West Bengal,90,72,162,87,119,206,48,47,95
