India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,94.7,94,99.8,100,97.7,94,93.6,97.9,87.9
Andaman and Nicobar Islands,99.5,99.7,100,100,0,99.7,100,98.6,0
Andhra Pradesh,96.6,95.6,97.6,100,100,95.6,95.2,99.6,93.5
Arunachal Pradesh,68.8,62.9,100,100,100,62.5,100,97,95.7
Assam,82.6,90.6,100,100,83.3,90.5,53.5,90.9,29.3
Bihar,97.6,97.3,100,100,100,97.3,98.1,99.4,99.1
Chandigarh,100,100,100,100,100,100,100,100,100
Chhattisgarh,97.9,97.6,100,100,100,97.6,99.2,99.7,99.3
"Dadra and Nagar Haveli and Damanand Diu",99.6,99.7,100,100,0,99.7,100,98.4,0
Delhi,100,100,100,100,0,100,100,100,0
Goa,100,100,100,100,0,100,100,100,0
Gujarat,98,97,100,100,100,97,99.7,99.9,100
Haryana,97.6,96.2,100,100,100,96.2,100,99.8,99.4
Himachal Pradesh,98.6,98.5,100,100,100,98.5,0,99.4,100
Jammu and Kashmir,83,79.4,100,100,0,79.3,100,98.1,81.1
Jharkhand,97.1,97.2,100,100,100,97.2,85.6,99.6,97.7
Karnataka,97.9,97,100,100,100,97,99.8,99.7,100
Kerala,99.5,98.6,100,100,100,98.6,99.8,99.8,99.8
Ladakh,92.6,91.8,100,100,100,91.8,100,98.2,0
Lakshadweep,100,100,100,100,0,100,0,0,0
Madhya Pradesh,95.9,95.1,100,100,100,95.1,98.2,98.4,96.4
Maharashtra,94.6,91.6,100,100,100,91.5,99.3,98.9,94.3
Manipur,75.4,70.8,100,100,100,70.5,53.6,99.3,88.7
Meghalaya,69.7,72,100,100,0,71.9,70.3,62.9,58.1
Mizoram,86.9,83.4,100,100,100,83.3,91.3,94.2,90.5
Nagaland,77.1,70,100,100,100,69.7,0,95.5,100
Odisha,90.2,89.8,100,100,75,89.8,84.5,98,95
Puducherry,100,100,100,100,0,100,100,100,0
Punjab,99.4,99.2,100,100,100,99.2,100,100,91.7
Rajasthan,92.6,92.5,100,100,92.9,92.4,0,93.7,82.2
Sikkim,99.2,99.5,100,100,100,99.5,73.3,99.5,0
Tamil Nadu,99.6,99.9,100,0,100,99.9,98.2,99.7,99.8
Telangana,78.8,70.6,97.1,100,87.5,70.5,84.6,98.4,91.6
Tripura,74.6,74,100,100,0,73.9,100,93.1,55.2
Uttar Pradesh,97.1,96.3,100,100,100,96.3,97.5,98.3,96.8
Uttarakhand,90.8,88.1,100,100,85.7,88.1,94.6,98.2,95.9
West Bengal,99.9,100,100,100,100,100,98.6,99.3,97.4
