India/ State /UT,Number of teachers by Classes Taught – Others,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-Primary andPrimary","PrimaryOnly","Prima-ry andUpperPrimary","UpperPrimaryOnly","Upper Pri-mary andSecondary","SecondaryOnly","Secondaryand HigherSecondary","HigherSecondaryOnly"
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,325783,4632,12702,149791,26457,112920,3616,11598,722,3345
Andaman and Nicobar Islands,3,0,3,0,0,0,0,0,0,0
Andhra Pradesh,567,0,0,375,83,82,6,9,0,12
Arunachal Pradesh,419,10,16,259,59,75,0,0,0,0
Assam,24754,7,114,15151,86,3807,261,4104,25,1199
Bihar,83759,756,1380,18894,9456,51365,609,824,148,327
Chandigarh,452,68,25,160,35,125,27,4,8,0
Chhattisgarh,1045,3,4,683,60,295,0,0,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0
Daman and Diu,25,0,0,9,2,2,0,5,4,3
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,47,0,0,13,0,11,0,13,3,7
Haryana,7987,176,103,5163,383,2046,32,62,16,6
Himachal Pradesh,3,0,0,3,0,0,0,0,0,0
Jammu and Kashmir,707,29,62,298,43,220,6,38,0,11
Jharkhand,61779,652,1074,28496,7037,22851,586,941,19,123
Karnataka,59,0,2,22,6,15,8,6,0,0
Kerala,10307,309,98,6768,340,2480,61,208,7,36
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,6764,8,11,2416,184,4130,10,1,3,1
Maharashtra,5711,201,166,3465,285,1090,109,367,7,21
Manipur,1957,82,131,988,380,367,5,4,0,0
Meghalaya,2528,48,280,899,159,263,106,558,12,203
Mizoram,594,26,19,164,58,69,0,169,0,89
Nagaland,6,1,4,1,0,0,0,0,0,0
Odisha,10245,3,1,6845,1390,1290,123,562,7,24
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,3864,270,275,1133,0,1015,0,486,0,685
Rajasthan,7322,64,357,5305,335,1008,131,60,39,23
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,4552,612,136,2246,601,635,61,170,39,52
Telangana,479,0,24,344,78,26,0,7,0,0
Tripura,1216,37,98,961,23,66,0,15,0,16
Uttar Pradesh,75181,22,926,47107,4687,17550,1395,2700,349,445
Uttarakhand,2346,30,17,1623,37,489,5,107,5,33
West Bengal,11105,1218,7376,0,650,1548,75,178,31,29
