India/State/ UT,New Admissions in Class 1 – Others,,,,,,,,,,,
"",Total,Boys,Girls,,,,,,,,,
"","admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,"admitted inclass 1",with pre-school experience in,,,,,,
"",,"sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre","sameschool","anotherschool","Anganwadi/ ECCECentre",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,605696,346185,26973,33894,339252,198036,15078,18297,266444,148149,11895,15597
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1350,779,260,147,740,451,141,67,610,328,119,80
Arunachal Pradesh,860,625,73,110,464,328,39,63,396,297,34,47
Assam,17003,11655,596,2288,8921,6089,311,1195,8082,5566,285,1093
Bihar,157234,122793,5467,8916,95214,75822,3299,4798,62020,46971,2168,4118
Chandigarh,1067,859,129,15,646,513,79,10,421,346,50,5
Chhattisgarh,1079,231,18,229,604,128,13,116,475,103,5,113
"Dadra and Nagar Haveli andDaman and Diu",26,1,25,0,26,1,25,0,0,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,13,3,0,0,3,3,0,0,10,0,0,0
Haryana,12621,8970,1286,538,7037,5018,717,270,5584,3952,569,268
Himachal Pradesh,6,4,0,0,2,2,0,0,4,2,0,0
Jammu and Kashmir,604,494,31,1,331,262,24,1,273,232,7,0
Jharkhand,91702,71419,2402,1133,53497,41508,1462,675,38205,29911,940,458
Karnataka,61,40,10,5,36,23,5,2,25,17,5,3
Kerala,13925,11704,1615,273,7272,6069,878,151,6653,5635,737,122
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,5669,2655,377,872,2955,1415,164,459,2714,1240,213,413
Maharashtra,7511,4582,570,397,4079,2474,308,237,3432,2108,262,160
Manipur,1938,1731,114,35,1060,936,61,23,878,795,53,12
Meghalaya,4545,4299,204,2,2396,2265,105,1,2149,2034,99,1
Mizoram,1048,877,132,3,545,441,79,3,503,436,53,0
Nagaland,19,17,2,0,14,12,2,0,5,5,0,0
Odisha,14555,6938,1266,3497,8262,3897,726,1995,6293,3041,540,1502
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,148,129,4,0,101,96,4,0,47,33,0,0
Rajasthan,26508,4802,546,1341,13946,2575,284,676,12562,2227,262,665
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,4618,3010,558,295,2509,1639,295,172,2109,1371,263,123
Telangana,371,128,99,36,159,43,48,7,212,85,51,29
Tripura,2558,1373,53,996,1405,709,34,568,1153,664,19,428
Uttar Pradesh,184281,63969,9195,7735,97789,33585,4878,4104,86492,30384,4317,3631
Uttarakhand,10722,2111,493,2126,5711,1095,285,1142,5011,1016,208,984
West Bengal,43654,19987,1448,2904,23528,10637,812,1562,20126,9350,636,1342
