India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,89.7,89.7,100,100,99.2,89.7,89.5,91.5,75.2
Andaman & Nicobar Islands,92,90.3,100,100,0,90.1,100,100,0
Andhra Pradesh,99.7,99.7,100,100,100,99.7,99.9,99.9,100
Arunachal Pradesh,58,49.4,100,100,100,48.7,97.2,96.4,85.7
Assam,86.3,96.1,100,100,100,96.1,22.8,82.5,9.8
Bihar,78.3,77.3,100,100,60,77.3,71.2,86.9,79.8
Chandigarh,100,100,100,100,100,100,100,100,100
Chhattisgarh,90.7,89.6,100,100,100,89.6,89.1,98,94.3
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,0
Goa,100,100,100,100,0,100,100,100,0
Gujarat,99.9,99.9,100,100,100,99.9,100,100,100
Haryana,99.4,99.3,100,100,100,99.3,100,99.5,99.3
Himachal Pradesh,99.2,99.1,100,100,100,99.1,0,99.8,100
Jammu & Kashmir,86,85.4,100,100,0,85.4,100,87.9,89.7
Jharkhand,92,92.7,100,100,100,92.7,64.7,95.7,92.1
Karnataka,98.3,97.9,100,100,100,97.9,99.3,98.9,100
Kerala,99.8,99.7,100,100,100,99.7,99.9,99.9,100
Ladakh,74,71.9,100,100,100,71.7,77.5,87.7,0
Lakshadweep,100,100,100,100,0,100,0,0,0
Madhya Pradesh,85,81.9,100,100,100,81.9,85.9,94.6,91.1
Maharashtra,87.9,81,100,100,100,81,98.1,98.6,98.9
Manipur,60.7,51.4,100,100,100,50.9,40.2,97,79.7
Meghalaya,26.8,17.5,100,100,0,17.3,34,42,47.4
Mizoram,82.1,78.5,100,100,100,78.4,93,87.9,91.7
Nagaland,73.2,65.6,100,100,100,65.3,0,92.4,100
Odisha,95.8,95.9,100,100,100,95.8,92.3,98.2,96.5
Puducherry,100,100,100,100,0,100,100,100,0
Punjab,99.9,99.9,100,100,100,99.9,100,99.9,100
Rajasthan,90.3,88.9,100,100,100,88.8,0,94,79.7
Sikkim,97,96.5,100,100,100,96.5,87.5,98.4,0
Tamil Nadu,99,99.9,100,0,100,99.9,99.6,95.8,87.8
Telangana,92.2,89.1,100,100,100,89.1,87.2,99.9,100
Tripura,76.1,76.2,100,100,0,76.1,90.5,94.7,43.1
Uttar Pradesh,84.7,88.7,100,100,100,88.7,80,81.4,69.8
Uttarakhand,90.2,88.1,100,100,100,88.1,92.5,96.1,93.6
West Bengal,97,97.6,100,100,100,97.6,97.2,93.4,92.4
