India/State /UT,Number of teachers by Classes Taught – Others,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),( 6),(7),( 8),(9),(10),(11)
India,264308,3415,22457,114039,40570,60516,8760,9199,3002,2350
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,499,3,42,159,203,58,13,21,0,0
Arunachal Pradesh,361,18,40,204,44,55,0,0,0,0
Assam,12158,12,177,6848,99,1554,229,2608,9,622
Bihar,50999,568,1159,14377,11168,22519,317,548,95,248
Chandigarh,404,83,33,127,71,65,14,3,8,0
Chhattisgarh,716,0,1,465,20,230,0,0,0,0
"Dadra & Nagar Haveli andDaman & Diu",22,0,0,0,10,1,1,3,1,6
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,51,5,7,12,6,7,2,6,2,4
Haryana,5380,144,140,3177,586,1229,39,36,22,7
Himachal Pradesh,4,0,0,4,0,0,0,0,0,0
Jammu & Kashmir,417,13,29,178,73,75,13,26,4,6
Jharkhand,46549,862,2291,18807,10538,12338,917,700,29,67
Karnataka,27,0,0,14,5,3,2,3,0,0
Kerala,7154,629,260,3613,902,1406,181,132,14,17
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4598,1,48,2221,1621,698,2,1,5,1
Maharashtra,1780,59,67,1112,179,230,48,81,0,4
Manipur,1024,43,126,471,222,162,0,0,0,0
Meghalaya,2423,55,340,781,177,216,130,514,13,197
Mizoram,391,14,15,98,83,51,0,99,0,31
Nagaland,9,0,4,5,0,0,0,0,0,0
Odisha,8382,123,465,4533,1709,754,211,438,38,111
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,84,0,17,45,2,19,1,0,0,0
Rajasthan,7557,35,114,5635,913,643,102,47,55,13
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,1530,130,76,936,167,161,14,41,0,5
Telangana,245,3,10,133,75,10,2,12,0,0
Tripura,1002,14,72,817,24,37,14,11,6,7
Uttar Pradesh,70841,43,183,42343,9714,12831,2280,2380,628,439
Uttarakhand,2389,10,27,1551,172,478,16,93,10,32
West Bengal,37312,548,16714,5373,1787,4686,4212,1396,2063,533
