India/State/ UT,Percentage of Schools with drinking water facility,Percentage of Schools with functional drinking water facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,98.4,98.4,97.3,99.1,94.9,95.8,96,95.9,95.9,90.8
Andaman & Nicobar Islands,100,100,100,100,0,100,100,100,100,0
Andhra Pradesh,100,100,100,100,100,99.9,99.9,100,99.9,100
Arunachal Pradesh,83.3,80.3,98.6,97.6,95.7,69.7,64.8,90.1,92.8,91.5
Assam,95.2,98.3,88.5,97.6,69.1,93,96.6,83.9,95.3,62.6
Bihar,95.8,95.6,93.6,97,96.1,93.4,93.1,91.7,95.8,94.1
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,99.5,99.5,99.8,99.9,99.6,97.9,97.9,99,98,97.7
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,100,100,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.9,99.9,100,100,100,99.9,99.9,100,100,100
Haryana,99.9,99.8,100,100,100,99.7,99.7,100,99.8,99.9
Himachal Pradesh,100,100,0,100,100,100,100,0,100,100
Jammu & Kashmir,99.5,99.4,100,99.6,98.8,95.8,95.5,100,97.1,97.6
Jharkhand,98.4,98.2,98.8,99.8,99.5,95.9,95.5,95.2,99.1,98
Karnataka,99.9,100,100,99.9,100,98.7,98.8,99,98.4,100
Kerala,99.9,99.9,100,100,100,99.8,99.6,99.9,99.8,99.8
Ladakh,97.5,97.3,100,99.1,0,92.4,91.7,96.3,97.3,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,99.5,99.7,98.9,99.1,97.7,94,93.8,95.8,94.5,91.1
Maharashtra,99.6,99.3,100,99.9,100,98.4,97.8,99.5,98.9,99.4
Manipur,100,100,100,100,100,100,100,100,100,100
Meghalaya,56.5,53.7,62.9,54.2,56.8,49.1,44.9,56,50.2,51.2
Mizoram,92.3,90.4,98.7,94.9,100,91.2,89.3,97.8,93.8,98.6
Nagaland,68.3,61.1,0,86.6,100,63.2,55.2,0,83.9,100
Odisha,99.9,100,99.2,99.8,99.9,99.2,99.4,97.7,98.8,98.4
Puducherry,100,100,100,100,0,100,100,100,100,0
Punjab,99.9,99.9,100,99.9,100,99.7,99.8,99.8,99.5,85.7
Rajasthan,97.3,97,0,98.2,94.6,89.9,90.2,0,89.7,84.4
Sikkim,99.5,99.5,100,99.5,0,98.6,98.5,100,98.6,0
Tamil Nadu,100,100,100,100,100,100,100,100,100,100
Telangana,97.2,96.2,91.2,100,100,91.2,89.7,84.8,95.4,90.2
Tripura,90.5,90.1,95.3,97.5,86.8,81.1,80.5,88.4,92.4,74.3
Uttar Pradesh,99.8,99.7,99.8,99.9,99.9,96.6,97.8,95.9,95.3,94.2
Uttarakhand,96.5,95.6,97.6,98.9,98.3,91.4,90.8,92.7,93.6,88
West Bengal,99.6,99.7,100,98.4,99,99.6,99.7,100,98.4,99
