India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,95.2,95.4,99.5,99.1,99.6,95.4,95.1,96,87
Andaman & Nicobar Islands,100,100,100,100,0,100,100,100,0
Andhra Pradesh,99.2,99,100,100,100,99,99.1,100,100
Arunachal Pradesh,75,70.2,100,100,100,69.8,100,97.8,93.6
Assam,89.4,97,100,100,100,97,59.9,93.9,34.5
Bihar,95.1,94.8,98,94.9,100,94.8,91.2,97.2,96.3
Chandigarh,100,100,100,100,100,100,100,100,100
Chhattisgarh,96.6,96.2,100,100,100,96.2,98.8,99.2,97.7
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,0,100,100,100,100
Delhi,100,100,100,100,0,100,100,100,0
Goa,100,100,100,100,0,100,100,100,0
Gujarat,99.1,98.7,100,100,100,98.7,99.6,100,100
Haryana,99.2,98.8,100,100,100,98.8,100,99.9,99.7
Himachal Pradesh,98.6,98.4,100,100,100,98.4,0,99.7,100
Jammu & Kashmir,89.9,87.7,97.2,95,0,87.7,100,97.1,92.9
Jharkhand,97.2,97.2,100,100,91.7,97.2,89.4,99.6,98.3
Karnataka,99.4,99.2,100,100,100,99.2,99.9,99.7,90
Kerala,99.9,99.9,100,100,100,99.9,100,100,99.9
Ladakh,97.9,97.5,100,100,100,97.5,100,100,0
Lakshadweep,100,100,100,100,0,100,0,0,0
Madhya Pradesh,93.2,92.7,98.2,94.4,100,92.7,95.1,94.7,93.2
Maharashtra,96.4,94.5,100,100,100,94.5,99.5,99.2,100
Manipur,82.4,80,100,100,100,79.8,68.1,97.2,87.3
Meghalaya,76.4,80.3,100,100,0,80.2,75.1,67.9,64.3
Mizoram,90.6,87.8,100,100,100,87.7,94.8,96.4,94.4
Nagaland,80.1,74,100,100,100,73.7,0,95.8,100
Odisha,97.7,98.3,100,100,100,98.3,92.2,98.1,97
Puducherry,100,100,100,100,0,100,100,100,0
Punjab,99.2,99.3,100,100,100,99.3,98.9,99.2,92.9
Rajasthan,88.1,88.8,100,100,100,88.8,0,87.6,76.4
Sikkim,99.8,99.9,100,100,100,99.9,100,99.7,0
Tamil Nadu,98.1,97.1,100,0,100,97.1,100,100,100
Telangana,91.7,88.4,100,100,100,88.4,90.4,100,98
Tripura,82.5,82.3,90,100,0,82.2,100,95.6,64.2
Uttar Pradesh,95.5,96.2,99.2,100,100,96.2,94.8,94.9,91.7
Uttarakhand,90.8,90.6,100,100,100,90.6,91.5,91.8,85.3
West Bengal,99.9,100,100,100,100,100,100,99.7,99.4
