India/State /UT,Number of teachers by Classes Taught – Government Aided,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),( 6),(7),( 8),(9),(10),(11)
India,789634,5768,1603,142248,44679,139415,63805,237191,19598,135327
Andaman & Nicobar Islands,80,2,1,19,1,8,17,7,3,22
Andhra Pradesh,5405,2,42,1665,226,354,1140,787,0,1189
Arunachal Pradesh,1065,3,13,267,281,121,190,107,56,27
Assam,24173,2,4,58,39,14944,578,6241,37,2270
Bihar,3353,0,1,257,257,1134,230,1047,186,241
Chandigarh,294,3,7,42,24,10,79,13,41,75
Chhattisgarh,2505,4,4,867,143,538,112,224,351,262
"Dadra & Nagar Haveli andDaman & Diu",216,0,0,30,7,51,20,46,1,61
Delhi,4730,18,0,886,0,1297,0,1128,0,1401
Goa,9165,239,33,1691,191,824,2618,1643,0,1926
Gujarat,46099,18,17,1011,149,1964,8,24430,2408,16094
Haryana,113,0,0,37,4,3,23,8,29,9
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,13,0,0,2,4,5,2,0,0,0
Jharkhand,5915,13,68,1841,1296,1066,796,572,48,215
Karnataka,41448,10,4,1725,10250,933,116,22803,166,5441
Kerala,118120,5101,76,36223,304,30084,344,29140,166,16682
Ladakh,61,0,0,50,2,9,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4310,10,12,952,461,607,231,476,1064,497
Maharashtra,281024,80,268,51333,27826,43426,30292,79448,2195,46156
Manipur,2573,6,48,1255,206,406,328,221,8,95
Meghalaya,17645,157,797,5652,53,4797,647,4347,215,980
Mizoram,1847,0,0,0,0,546,0,976,0,325
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,32603,0,1,1033,232,2629,3153,17429,0,8126
Puducherry,891,37,6,243,149,57,193,79,37,90
Punjab,4776,15,20,1004,142,506,263,1319,319,1188
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,245,5,2,58,5,47,36,28,35,29
Tamil Nadu,78216,24,0,28152,1394,15917,10694,10848,202,10985
Telangana,3229,19,81,1206,202,258,668,586,0,209
Tripura,1097,0,0,170,1,99,37,304,75,411
Uttar Pradesh,92144,0,22,4150,788,15753,10085,31533,10835,18978
Uttarakhand,5262,0,0,153,22,948,764,1249,884,1242
West Bengal,1017,0,76,216,20,74,141,152,237,101
